"DR_NO","Date Rptd","DATE OCC","TIME OCC","AREA","AREA NAME","Rpt Dist No","Part 1-2","Crm Cd","Crm Cd Desc","Mocodes","Vict Age","Vict Sex","Vict Descent","Premis Cd","Premis Desc","Weapon Used Cd","Weapon Desc","Status","Status Desc","Crm Cd 1","Crm Cd 2","Crm Cd 3","Crm Cd 4","LOCATION","Cross Street","LAT","LON"
"232004467","01/12/2023 12:00:00 AM","01/12/2023 12:00:00 AM","1320","20","Olympic","2069","2","662","BUNCO, GRAND THEFT","1202 0701 0800 0342 1309 1822 1233","66","F","H","101","STREET","","","IC","Invest Cont","662","","","","1200 S  VERMONT                      AV","","34.0491","-118.2916"
"231706253","02/19/2023 12:00:00 AM","02/18/2023 12:00:00 AM","2230","17","Devonshire","1764","2","626","INTIMATE PARTNER - SIMPLE ASSAULT","2000 0913 1206 1814 0416","36","F","W","502","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont","626","","","","9400    CORBIN                       AV","","34.241","-118.5623"
"231205673","01/30/2023 12:00:00 AM","01/30/2023 12:00:00 AM","1945","12","77th Street","1218","1","251","SHOTS FIRED AT INHABITED DWELLING","1100 1402 1407 0450","55","F","H","501","SINGLE FAMILY DWELLING","102","HAND GUN","IC","Invest Cont","251","998","","","700 W  55TH                         ST","","33.9923","-118.2856"
"230305295","01/27/2023 12:00:00 AM","01/26/2023 12:00:00 AM","1800","03","Southwest","0334","1","331","THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)","1822 1606 0344 0385 1300","36","F","B","122","VEHICLE, PASSENGER/TRUCK","","","IC","Invest Cont","331","","","","3000 S  BRONSON                      AV","","34.0276","-118.3338"
"230104872","01/13/2023 12:00:00 AM","01/13/2023 12:00:00 AM","2020","01","Central","0122","2","624","BATTERY - SIMPLE ASSAULT","2004 1822 0444","53","F","W","102","SIDEWALK","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont","624","","","","500 W  TEMPLE                       ST","","34.0573","-118.2455"
"230705662","02/06/2023 12:00:00 AM","02/06/2023 12:00:00 AM","0730","07","Wilshire","0743","1","310","BURGLARY","0344","35","M","O","123","PARKING UNDERGROUND/BUILDING","","","IC","Invest Cont","310","","","","5700 W  OLYMPIC                      BL","","34.0574","-118.3536"
"231200503","01/02/2023 12:00:00 AM","01/02/2023 12:00:00 AM","1720","12","77th Street","1273","2","753","DISCHARGE FIREARMS/SHOTS FIRED","0326 1402 1407 1100 1309 0302","0","X","X","101","STREET","102","HAND GUN","IC","Invest Cont","753","","","","2000 W  MANCHESTER                   AV","","33.96","-118.3134"
"230705694","02/07/2023 12:00:00 AM","02/07/2023 12:00:00 AM","1400","07","Wilshire","0765","2","812","CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER)","1259 1822 0373","16","F","H","501","SINGLE FAMILY DWELLING","500","UNKNOWN WEAPON/OTHER WEAPON","IC","Invest Cont","237","812","","","1400 S  MANSFIELD                    AV","","34.0478","-118.3459"
"230904298","01/09/2023 12:00:00 AM","01/09/2023 12:00:00 AM","0140","09","Van Nuys","0946","2","624","BATTERY - SIMPLE ASSAULT","0400","21","M","B","102","SIDEWALK","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AO","Adult Other","624","","","","5800    WOODMAN                      AV","","34.1745","-118.4356"
"230906393","03/03/2023 12:00:00 AM","03/02/2023 12:00:00 AM","1910","09","Van Nuys","0935","2","624","BATTERY - SIMPLE ASSAULT","0446","53","F","H","101","STREET","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont","624","","","","14300    SYLVAN                       ST","","34.1847","-118.4443"
"231505079","01/28/2023 12:00:00 AM","01/05/2023 12:00:00 AM","1200","15","N Hollywood","1543","2","649","DOCUMENT FORGERY / STOLEN FELONY","0923 1822","47","F","W","502","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","","","IC","Invest Cont","649","","","","5200    CORTEEN                      PL","","34.1649","-118.402"
"231804056","01/01/2023 12:00:00 AM","01/01/2023 12:00:00 AM","0800","18","Southeast","1844","2","354","THEFT OF IDENTITY","1822 0100 0935","27","F","H","501","SINGLE FAMILY DWELLING","","","IC","Invest Cont","354","","","","300 E  108TH                        ST","","33.9383","-118.2695"
"231904444","01/12/2023 12:00:00 AM","01/08/2023 12:00:00 AM","2000","19","Mission","1918","2","627","CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT","0913 0416 0552 1259","17","F","H","502","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","301","BELT FLAILING INSTRUMENT/CHAIN","IC","Invest Cont","627","","","","13700    HUBBARD                      ST","","34.3065","-118.4314"
"230604503","01/13/2023 12:00:00 AM","01/13/2023 12:00:00 AM","1720","06","Hollywood","0645","2","624","BATTERY - SIMPLE ASSAULT","0216 1822 0400 0416 0446","28","M","H","102","SIDEWALK","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont","624","","","","6800    HOLLYWOOD                    BL","","34.1016","-118.3387"
"231906284","02/23/2023 12:00:00 AM","02/22/2023 12:00:00 AM","2200","19","Mission","1985","1","210","ROBBERY","0337 0312 1822 1252 0344 0302 0432","0","M","O","101","STREET","102","HAND GUN","IC","Invest Cont","210","","","","TOBIAS","ROSCOE","34.2215","-118.4517"
"231806061","02/09/2023 12:00:00 AM","02/02/2023 12:00:00 AM","1105","18","Southeast","1846","2","354","THEFT OF IDENTITY","0100 1822 0922","52","M","B","501","SINGLE FAMILY DWELLING","","","IC","Invest Cont","354","","","","11300    PARMELEE                     AV","","33.9327","-118.2502"
"230706209","02/18/2023 12:00:00 AM","02/18/2023 12:00:00 AM","1335","07","Wilshire","0773","2","624","BATTERY - SIMPLE ASSAULT","0400 1822","51","F","B","203","OTHER BUSINESS","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont","624","","","","5100    VENICE                       BL","","34.0451","-118.3506"
"231505165","01/30/2023 12:00:00 AM","01/30/2023 12:00:00 AM","1000","15","N Hollywood","1595","1","510","VEHICLE - STOLEN","","0","","","707","GARAGE/CARPORT","","","IC","Invest Cont","510","","","","11800    LAURELWOOD                   DR","","34.1404","-118.3895"
"230106662","02/08/2023 12:00:00 AM","02/06/2023 12:00:00 AM","0139","01","Central","0131","2","354","THEFT OF IDENTITY","0930","36","M","B","502","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","","","IC","Invest Cont","354","","","","100 S  FIGUEROA                     ST","","34.0569","-118.254"
"231306055","02/09/2023 12:00:00 AM","02/08/2023 12:00:00 AM","0800","13","Newton","1354","2","745","VANDALISM - MISDEAMEANOR ($399 OR UNDER)","0329","52","M","B","502","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","","","IC","Invest Cont","745","","","","4000    ADAIR                        ST","","34.0112","-118.2693"
"230806724","02/23/2023 12:00:00 AM","02/22/2023 12:00:00 AM","0835","08","West LA","0834","1","331","THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)","0344 0385 1822","36","F","H","123","PARKING UNDERGROUND/BUILDING","","","IC","Invest Cont","331","","","","10600    HOLMAN                       AV","","34.0554","-118.4308"
"230905062","01/30/2023 12:00:00 AM","01/28/2023 12:00:00 AM","1527","09","Van Nuys","0981","1","343","SHOPLIFTING-GRAND THEFT ($950.01 & OVER)","0325","33","M","W","402","MARKET","","","IC","Invest Cont","343","","","","4500 N  SEPULVEDA                    BL","","34.1517","-118.4671"
"232106432","03/06/2023 12:00:00 AM","03/03/2023 12:00:00 AM","1900","21","Topanga","2137","1","510","VEHICLE - STOLEN","","0","","","101","STREET","","","IC","Invest Cont","510","","","","DE SOTO","VALERIO                      ST","34.2047","-118.5885"
"230105283","01/19/2023 12:00:00 AM","01/19/2023 12:00:00 AM","1830","01","Central","0159","1","330","BURGLARY FROM VEHICLE","0344 0377 1300 1307 1609 1822","25","M","O","101","STREET","","","IC","Invest Cont","330","","","","500    MATEO                        ST","","34.0414","-118.2332"
"230706526","02/26/2023 12:00:00 AM","02/22/2023 12:00:00 AM","1800","07","Wilshire","0752","1","331","THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)","0385 1822 0344","57","F","O","101","STREET","","","IC","Invest Cont","331","","","","1000 S  ALFRED                       ST","","34.0595","-118.3748"
"231406014","02/19/2023 12:00:00 AM","02/19/2023 12:00:00 AM","1000","14","Pacific","1434","2","624","BATTERY - SIMPLE ASSAULT","0444","72","M","W","501","SINGLE FAMILY DWELLING","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont","624","","","","3500    ROSEWOOD                     AV","","34.0052","-118.4478"
"230105812","01/28/2023 12:00:00 AM","01/28/2023 12:00:00 AM","1350","01","Central","0192","1","410","BURGLARY FROM VEHICLE, ATTEMPTED","1300 1601 1402 1822","0","X","X","108","PARKING LOT","","","AA","Adult Arrest","410","998","","","200 W  WASHINGTON                   BL","","34.0338","-118.2706"
"231104161","01/05/2023 12:00:00 AM","01/05/2023 12:00:00 AM","1100","11","Northeast","1125","2","626","INTIMATE PARTNER - SIMPLE ASSAULT","2004 2000 0913 1814 0416","26","F","B","503","HOTEL","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AO","Adult Other","626","","","","4800    YORK                         BL","","34.1222","-118.2106"
"230706076","02/15/2023 12:00:00 AM","02/15/2023 12:00:00 AM","1550","07","Wilshire","0764","1","510","VEHICLE - STOLEN","","0","","","101","STREET","","","IC","Invest Cont","510","","","","5400 W  PICO                         BL","","34.0485","-118.3558"
"231304960","01/19/2023 12:00:00 AM","01/19/2023 12:00:00 AM","1330","13","Newton","1372","2","662","BUNCO, GRAND THEFT","1822 0701 0800 2021 1202 0344","73","F","H","102","SIDEWALK","","","IC","Invest Cont","662","","","","MAIN                         ST","54TH                         ST","33.9933","-118.274"
"230105067","01/17/2023 12:00:00 AM","01/14/2023 12:00:00 AM","0045","01","Central","0111","1","341","THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD","0344","24","F","H","735","NIGHT CLUB (OPEN EVENINGS ONLY)","","","IC","Invest Cont","341","","","","600 N  SPRING                       ST","","34.0582","-118.2387"
"231204673","01/12/2023 12:00:00 AM","01/12/2023 12:00:00 AM","0700","12","77th Street","1235","2","626","INTIMATE PARTNER - SIMPLE ASSAULT","2000 1814 0913 1309 0444 0408","30","F","H","501","SINGLE FAMILY DWELLING","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont","626","","","","1500 W  59TH                         PL","","33.9867","-118.3024"
"231506477","03/01/2023 12:00:00 AM","02/24/2023 12:00:00 AM","1500","15","N Hollywood","1506","2","740","VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","0329 1307 1822 1402","50","M","H","255","AUTO DEALERSHIP (CHEVY, FORD, BMW, MERCEDES, ETC.)","","","IC","Invest Cont","740","998","","","7500    VINELAND                     AV","","34.2027","-118.3745"
"231207458","02/27/2023 12:00:00 AM","02/26/2023 12:00:00 AM","2130","12","77th Street","1248","1","510","VEHICLE - STOLEN","","0","","","101","STREET","","","IC","Invest Cont","510","","","","6300 S  VERMONT                      AV","","33.9819","-118.2915"
"230705492","02/03/2023 12:00:00 AM","02/02/2023 12:00:00 AM","2000","07","Wilshire","0745","2","740","VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","0329 1300","80","M","W","101","STREET","","","IC","Invest Cont","740","","","","1100    MEADOWBROOK                  AV","","34.0548","-118.3477"
"232105870","02/20/2023 12:00:00 AM","02/20/2023 12:00:00 AM","0449","21","Topanga","2105","2","740","VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","0329 1601","48","M","X","502","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","","","IC","Invest Cont","740","888","","","21700    ROSCOE                       BL","","34.2239","-118.6017"
"230706302","02/21/2023 12:00:00 AM","02/20/2023 12:00:00 AM","1500","07","Wilshire","0777","1","510","VEHICLE - STOLEN","","0","","","101","STREET","","","IC","Invest Cont","510","","","","1800    VIRGINIA                     RD","","34.0415","-118.3341"
"231104206","01/05/2023 12:00:00 AM","01/04/2023 12:00:00 AM","2106","11","Northeast","1136","1","341","THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD","0325","0","X","X","403","DRUG STORE","","","IC","Invest Cont","341","","","","4000    EAGLE ROCK                   BL","","34.12","-118.2288"
"231504472","01/12/2023 12:00:00 AM","01/11/2023 12:00:00 AM","1630","15","N Hollywood","1541","1","310","BURGLARY","0344","0","M","O","501","SINGLE FAMILY DWELLING","","","IC","Invest Cont","310","","","","5200    BEEMAN                       AV","","34.1649","-118.4074"
"231105760","02/16/2023 12:00:00 AM","02/15/2023 12:00:00 AM","2200","11","Northeast","1146","1","331","THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)","1300 0329 1822 0344 0385","34","F","W","101","STREET","","","IC","Invest Cont","331","","","","2600    BENEDICT                     ST","","34.0987","-118.2464"
"230806491","02/16/2023 12:00:00 AM","02/15/2023 12:00:00 AM","2105","08","West LA","0828","1","420","THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)","0344 0385 1822","58","F","W","101","STREET","","","IC","Invest Cont","420","","","","900    MANNING                      AV","","34.0646","-118.4378"
"230806157","02/19/2023 12:00:00 AM","02/19/2023 12:00:00 AM","1350","08","West LA","0884","1","310","BURGLARY","2004 0314 1822 0344 1606","78","M","W","501","SINGLE FAMILY DWELLING","","","IC","Invest Cont","310","","","","10700    AYRES                        AV","","34.0404","-118.4237"
"230404276","01/08/2023 12:00:00 AM","01/08/2023 12:00:00 AM","1545","04","Hollenbeck","0471","2","624","BATTERY - SIMPLE ASSAULT","2004 0416 0417 1266","41","M","H","108","PARKING LOT","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont","624","","","","MYERS                        ST","7TH                          ST","34.0345","-118.2252"
"231700584","01/31/2023 12:00:00 AM","01/31/2023 12:00:00 AM","1900","17","Devonshire","1752","2","753","DISCHARGE FIREARMS/SHOTS FIRED","0450 1822 1100 1402 1407","0","X","X","102","SIDEWALK","102","HAND GUN","IC","Invest Cont","753","998","","","LASSEN                       ST","DE SOTO                      AV","34.25","-118.5886"
"231004899","01/19/2023 12:00:00 AM","01/14/2023 12:00:00 AM","2349","10","West Valley","1045","1","440","THEFT PLAIN - PETTY ($950 & UNDER)","0344 1822 0394","40","M","W","501","SINGLE FAMILY DWELLING","","","IC","Invest Cont","440","","","","5600    LINDLEY                      AV","","34.1723","-118.5273"
"231807146","03/03/2023 12:00:00 AM","03/03/2023 12:00:00 AM","1025","18","Southeast","1863","2","740","VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","0913 0329 0361","28","M","H","122","VEHICLE, PASSENGER/TRUCK","","","IC","Invest Cont","740","","","","600 E  116TH                        ST","","33.9292","-118.2652"
"231104036","01/02/2023 12:00:00 AM","01/01/2023 12:00:00 AM","0300","11","Northeast","1172","2","626","INTIMATE PARTNER - SIMPLE ASSAULT","2000 0913 1814 0444","30","F","H","502","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AO","Adult Other","626","","","","1700 W  SILVER LAKE                  DR","","34.0893","-118.2685"
"231306001","02/08/2023 12:00:00 AM","02/08/2023 12:00:00 AM","1743","13","Newton","1321","2","626","INTIMATE PARTNER - SIMPLE ASSAULT","1814 0913 0400 0416 2000","25","F","B","101","STREET","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont","626","","","","HILL                         ST","23RD                         ST","34.0285","-118.2691"
"231404948","01/25/2023 12:00:00 AM","01/25/2023 12:00:00 AM","1700","14","Pacific","1485","1","510","VEHICLE - STOLEN","","0","","","101","STREET","","","IC","Invest Cont","510","","","","6500 W  86TH                         PL","","33.9593","-118.4021"
"230104808","01/12/2023 12:00:00 AM","01/12/2023 12:00:00 AM","1250","01","Central","0144","2","740","VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","0329 0216 1822","0","X","X","502","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","","","IC","Invest Cont","740","","","","400 S  SPRING                       ST","","34.0488","-118.2483"
"230706740","03/01/2023 12:00:00 AM","03/01/2023 12:00:00 AM","1956","07","Wilshire","0724","1","343","SHOPLIFTING-GRAND THEFT ($950.01 & OVER)","0325 1822","0","X","X","415","THE GROVE","","","IC","Invest Cont","343","","","","100    THE GROVE                    DR","","34.0736","-118.3563"
"232004874","01/25/2023 12:00:00 AM","01/25/2023 12:00:00 AM","2130","20","Olympic","2014","1","210","ROBBERY","1822 1300 0400 0334 0421 0416","46","M","H","102","SIDEWALK","102","HAND GUN","IC","Invest Cont","210","","","","200 S  HARVARD                      BL","","34.0712","-118.3042"
"230705216","01/27/2023 12:00:00 AM","01/26/2023 12:00:00 AM","1800","07","Wilshire","0714","1","331","THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)","0385 0344 1822","31","M","W","101","STREET","","","IC","Invest Cont","331","","","","400 N  GARDNER                      ST","","34.0782","-118.3532"
"230905782","02/16/2023 12:00:00 AM","02/15/2023 12:00:00 AM","1830","09","Van Nuys","0952","2","745","VANDALISM - MISDEAMEANOR ($399 OR UNDER)","0329 1300","23","X","W","707","GARAGE/CARPORT","","","IC","Invest Cont","745","","","","15300    ALBERS                       ST","","34.1703","-118.4662"
"230705298","01/26/2023 12:00:00 AM","01/21/2023 12:00:00 AM","1230","07","Wilshire","0738","2","668","EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)","1501","0","X","X","203","OTHER BUSINESS","","","IC","Invest Cont","668","","","","5000    WILSHIRE                     BL","","34.0621","-118.3385"
"231706245","02/17/2023 12:00:00 AM","02/17/2023 12:00:00 AM","1515","17","Devonshire","1797","2","624","BATTERY - SIMPLE ASSAULT","1251 0409 0913 0602 0554 1259 0400","15","F","W","501","SINGLE FAMILY DWELLING","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AO","Adult Other","624","","","","16600    SUNBURST                     ST","","34.2348","-118.4938"
"231905910","02/14/2023 12:00:00 AM","02/13/2023 12:00:00 AM","2244","19","Mission","1981","2","890","FAILURE TO YIELD","1300 1309","0","M","O","101","STREET","","","IC","Invest Cont","890","","","","PARTHENIA","SEPULVEDA","34.2283","-118.4677"
"231104570","01/16/2023 12:00:00 AM","01/15/2023 12:00:00 AM","2200","11","Northeast","1136","1","310","BURGLARY","1822 0344 0329 1609","0","X","X","402","MARKET","","","IC","Invest Cont","310","","","","3700 W  AVENUE 40","","34.1186","-118.227"
"231004841","01/21/2023 12:00:00 AM","01/21/2023 12:00:00 AM","1230","10","West Valley","1037","1","341","THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD","1822 0344","33","F","O","109","PARK/PLAYGROUND","","","IC","Invest Cont","341","","","","BALBOA","VANOWEN                      ST","34.1939","-118.5011"
"230706349","02/21/2023 12:00:00 AM","02/18/2023 12:00:00 AM","2027","07","Wilshire","0721","1","341","THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD","0344 1822","27","F","A","502","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","","","IC","Invest Cont","341","","","","100 N  DOHENY                       DR","","34.0753","-118.3897"
"230404712","01/22/2023 12:00:00 AM","01/22/2023 12:00:00 AM","0406","04","Hollenbeck","0468","2","626","INTIMATE PARTNER - SIMPLE ASSAULT","2000 0913 1814 0416","18","M","H","502","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont","626","","","","100    JULLIEN                      ST","","34.0401","-118.2017"
"230306406","02/15/2023 12:00:00 AM","02/15/2023 12:00:00 AM","1750","03","Southwest","0341","2","901","VIOLATION OF RESTRAINING ORDER","0913 2038","52","X","X","501","SINGLE FAMILY DWELLING","","","IC","Invest Cont","901","","","","5600    COLISEUM                     ST","","34.0184","-118.3673"
"230504621","01/16/2023 12:00:00 AM","01/15/2023 12:00:00 AM","1830","05","Harbor","0567","1","420","THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)","","0","","","101","STREET","","","IC","Invest Cont","420","","","","400 W  16TH                         ST","","33.7297","-118.2858"
"230804940","01/23/2023 12:00:00 AM","01/23/2023 12:00:00 AM","1015","08","West LA","0851","2","886","DISTURBING THE PEACE","1309 0913 0361","49","F","H","101","STREET","307","VEHICLE","IC","Invest Cont","886","","","","1500    BROCKTON                     AV","","34.0375","-118.4622"
"232005255","02/02/2023 12:00:00 AM","01/22/2023 12:00:00 AM","1140","20","Olympic","2049","2","662","BUNCO, GRAND THEFT","0344 1822 0800","35","F","H","502","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","","","IC","Invest Cont","662","","","","2800    FRANCIS                      AV","","34.0568","-118.2868"
"230106876","02/13/2023 12:00:00 AM","02/13/2023 12:00:00 AM","0920","01","Central","0174","2","624","BATTERY - SIMPLE ASSAULT","1822 0416","52","M","H","101","STREET","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AO","Adult Other","624","","","","8TH                          ST","LOS ANGELES                  ST","34.0419","-118.2523"
"230706460","02/24/2023 12:00:00 AM","02/24/2023 12:00:00 AM","1312","07","Wilshire","0721","1","442","SHOPLIFTING - PETTY THEFT ($950 & UNDER)","0344 0325 1822 0104 0378","0","X","X","416","THE BEVERLY CENTER","","","IC","Invest Cont","442","","","","8500    BEVERLY                      BL","","34.0761","-118.3766"
"231004912","01/24/2023 12:00:00 AM","01/03/2023 12:00:00 AM","1200","10","West Valley","1008","2","354","THEFT OF IDENTITY","1822 0922 0930","49","F","F","502","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","","","IC","Invest Cont","354","","","","7200    RUBIO                        AV","","34.2012","-118.4957"
"231600531","01/20/2023 12:00:00 AM","01/19/2023 12:00:00 AM","1723","16","Foothill","1612","1","210","ROBBERY","0302 0337 1402","0","X","X","248","CELL PHONE STORE","102","HAND GUN","IC","Invest Cont","210","998","","","13000    VAN NUYS                     BL","","34.2733","-118.4202"
